EDITED: 883102119677268008 | 2021-09-02 21:32:32.575000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=2OWydjT-16o | AFTER: v!play https://www.youtube.com/watch?v=2OWydjT-16o
883102148525699122 | 2021-09-02 21:32:39.453000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883102154368380949 | 2021-09-02 21:32:40.846000 | test(485194231665786888) | Vipper#9675 | 
883102220810350612 | 2021-09-02 21:32:56.687000 | test(485194231665786888) | Vipper#9675 | 
883104627933995029 | 2021-09-02 21:42:30.590000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883104642643423302 | 2021-09-02 21:42:34.097000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883104652361601074 | 2021-09-02 21:42:36.414000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883104657734516776 | 2021-09-02 21:42:37.695000 | test(485194231665786888) | Vipper#9675 | 
883104664118259742 | 2021-09-02 21:42:39.217000 | test(485194231665786888) | Przemekkk#2137 | v!queue
883105018398515201 | 2021-09-02 21:44:03.684000 | test(485194231665786888) | Vipper#9675 | 
883105284577427476 | 2021-09-02 21:45:07.146000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
EDITED: 883105284577427476 | 2021-09-02 21:45:07.146000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=pmanD_s7G3U | AFTER: v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883105304471011388 | 2021-09-02 21:45:11.889000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
